SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
8	20	15	50	25	32	19	15	41	17	2	28
6	12	11	1	1	1	4	11	12	12	2	5
3	7	2	1	0	2	0	6	10	4	0	9
3265	2302	2453	3092	3147	3005	3090	4062	5778	3998	181	4219
33	35	76	25	31	28	25	38	56	46	6	70
13159	6928	6963	5603	4750	4785	7877	7857	10813	11649	217	8266
695	418	836	288	321	458	479	606	931	409	34	1141
794	1331	1255	414	319	475	906	1980	2784	602	48	1701
27	35	84	18	45	79	18	72	133	18	5	139
12195	4852	6507	7265	5135	5634	7378	7276	10805	8882	312	9198
620	2790	2910	724	1946	3623	1098	5722	9846	852	218	4807
64062	62306	109026	68854	116512	138086	43271	147265	227230	58413	4276	169893
5209	3179	2418	3893	2847	2729	4212	4632	5310	4812	143	4272
3718	1296	1015	2079	1368	1130	2589	1799	1783	3613	52	1606
4937	1976	1904	3163	2153	2150	3253	2712	3412	4344	83	2917
1891	494	513	1211	632	741	1188	739	1018	1560	27	953
4219	1740	2350	3363	2390	2699	2617	2747	4136	3707	53	3542
4429	4163	8363	1581	1617	3606	2681	8028	16811	3729	3098	12563
0	0	2	0	0	0	0	0	0	0	0	1
6857	4337	5029	4694	5262	5474	6025	7267	11015	8179	230	7789
5334	2543	2737	3677	2800	2800	3660	3555	4855	4386	129	4564
3669	1479	1535	1517	1268	1356	2359	2085	2844	2812	123	2299
13802	10187	13111	6964	8368	9471	10095	15853	21898	11480	845	21765
494	241	132	257	226	262	294	229	323	397	15	281
7117	2318	1737	3187	2221	1948	5685	3262	3703	7497	115	2904
7598	5109	5860	4909	4633	4916	7149	7117	9859	8469	314	8591
5746	3630	3039	4007	3588	3498	6059	5333	6978	7203	196	5131
1226	1295	3119	999	1849	2495	1316	2850	4463	1024	746	5558
6595	2153	2173	3160	2120	2359	4186	2687	3996	5646	119	3529
12054	4055	5186	5215	3537	3681	6789	5401	7471	8953	154	7185
2194	621	622	1316	743	769	1263	913	1169	1615	24	1026
108	297	358	126	308	334	144	519	731	143	36	672
12324	4436	4536	6258	3928	3978	7624	5673	7576	11036	216	6491
9627	5766	7375	3168	3052	3426	4667	6415	8880	5685	228	8195
579	594	676	762	564	805	645	1222	1700	494	35	1067
10009	6510	6577	5620	5590	5049	6195	7793	10819	8741	99	8137
4807	1781	1946	2500	1222	1346	2748	1984	2914	3494	104	2531
1887	930	1150	1355	717	777	1206	1082	1726	1541	72	1428
1049	564	742	669	327	412	648	585	1042	832	60	847
644	1117	1404	532	430	517	419	1087	1716	487	40	1379
1828	485	819	1157	469	727	997	607	1211	1357	17	1230
2666	1047	1001	1063	595	569	1365	955	1296	1885	29	1105
4764	2320	3461	7554	4927	7111	4465	7158	9669	4850	735	8297
2862	729	1213	2692	1422	1879	1962	1380	2351	2411	51	2344
3977	1738	1569	2888	1730	1753	2664	1984	2670	3636	46	2291
2232	986	977	1379	826	931	1382	1094	1499	1914	25	1309
1797	549	566	651	336	323	607	438	582	716	16	579
5310	2292	2958	2914	1995	2457	3206	3158	4796	4581	203	4322
3051	2502	2320	3460	2891	2682	3820	4011	5280	4639	202	3995
26789	16738	15815	16858	16030	14536	19293	22618	30075	24536	661	23740
5534	4411	5608	3687	3457	3874	3625	6573	9725	4665	300	8429
4761	2095	2285	2101	1673	1626	2814	2654	3495	3805	105	2864
10995	7576	6938	6452	5947	5793	7588	9961	12850	10455	268	9575
2487	1518	1570	1496	1193	1467	1612	1748	2908	2194	39	2089
2568	1638	1469	507	637	1072	1293	1920	2509	1449	177	1867
42000	32324	31784	28713	27354	27840	32824	42860	59234	44068	1626	47785
8772	4577	4607	7001	2885	4302	6183	5163	8808	8101	211	7092
16342	8255	11992	20220	11712	14842	13237	13408	23610	16490	486	20709
1252	598	586	984	463	527	867	632	823	1114	12	741
3489	1468	1274	2184	1543	1535	2991	2169	2884	4155	77	2163
5777	2837	3203	3283	2414	2818	3503	3524	5514	5069	71	4326
10770	4344	3879	6879	4825	4294	7645	6066	7194	10253	181	5758
6313	2735	2445	4239	3393	2884	4410	4235	4686	5700	118	3760
1894	588	650	1059	676	645	1009	853	978	1334	21	987
135	44	23	87	56	51	74	54	71	83	1	61
2043	923	1717	2515	1803	2536	1202	1605	2964	1782	70	3662
33	45	45	65	55	81	54	83	137	51	4	71
6	5	6	11	10	17	11	18	27	11	1	19
1144	1102	1219	493	592	626	726	1095	1690	1079	32	1218
457	712	1149	793	1269	1815	582	1523	3219	852	149	2163
2	2	0	1	0	0	1	2	4	0	1	4
3708	2898	3818	2744	2906	3218	3273	4540	7033	4135	202	5118
722	806	1094	670	902	1030	845	1559	2389	1077	59	1695
