SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
8	20	15	50	25	32	19	15	41	17	2	28
6	12	11	1	1	1	4	11	12	12	2	5
3	7	2	1	0	2	0	6	10	4	0	9
3106	2174	2297	3221	3326	3171	3078	4036	5772	4034	180	4228
33	35	76	26	31	30	26	39	59	46	6	71
11477	5895	5905	6980	5965	6042	7981	7934	11032	11892	221	8376
635	395	773	372	417	601	479	613	963	415	34	1178
761	1255	1199	499	376	553	908	1943	2758	589	48	1679
27	35	84	17	45	79	18	73	133	18	5	139
10065	3942	5317	9958	7345	8342	7849	7903	11841	9530	367	9724
1144	2904	3244	884	2508	4493	1268	6412	10637	1103	229	5356
54549	53449	93422	80430	130751	159078	42547	143557	224324	58198	4257	166639
4718	2919	2222	4520	3316	3171	4277	4705	5434	4922	147	4406
3519	1229	962	2219	1462	1217	2594	1794	1811	3645	54	1622
4587	1812	1754	3398	2346	2340	3248	2709	3425	4369	87	2958
1592	399	401	1468	722	854	1192	742	1014	1565	31	967
4078	1698	2250	3538	2478	2873	2655	2783	4174	3748	53	3610
4261	3948	7720	1900	1931	4544	2616	7828	16252	3606	3039	12085
0	0	2	0	0	0	0	0	0	0	0	1
6220	3971	4649	5358	5946	6084	6076	7411	11134	8326	240	7903
4906	2377	2506	4078	3091	3112	3723	3577	4884	4440	122	4551
3461	1410	1469	1599	1352	1440	2341	2082	2817	2809	126	2303
11721	8937	11651	8734	9751	11031	9840	15682	21612	11280	841	21481
472	227	127	271	251	279	300	239	334	396	15	283
6637	2114	1623	3452	2471	2117	5755	3292	3717	7546	113	2958
6499	4328	5194	5945	5592	5892	7190	7243	10020	8557	319	8664
4694	2892	2453	5009	4505	4419	6101	5484	7153	7295	202	5214
1113	1166	2744	1223	2217	2978	1327	2815	4426	1057	729	5598
6343	2052	2101	3347	2262	2493	4230	2739	4039	5692	121	3564
11794	3954	5016	5331	3607	3789	6728	5369	7379	8902	154	7137
1917	532	521	1500	831	884	1232	886	1153	1606	21	1006
100	287	345	154	336	374	159	521	754	153	36	686
11594	4079	4216	6805	4313	4387	7656	5676	7609	11080	223	6502
8417	4963	6399	3850	3901	4217	4536	6211	8622	5538	223	7943
527	530	614	909	681	940	653	1200	1683	498	36	1041
8404	4905	5270	6784	7333	6331	6185	7723	10806	8838	98	8174
3849	1359	1498	3210	1641	1773	2775	1974	2898	3579	105	2590
1460	745	870	1785	948	1064	1197	1084	1713	1553	76	1448
794	448	567	886	393	551	611	559	1022	813	64	845
638	1103	1377	541	437	528	413	1083	1695	484	40	1367
1546	413	712	1320	544	842	999	613	1192	1350	15	1218
2287	846	815	1370	764	731	1378	932	1296	1933	24	1090
4465	2134	3196	8175	5292	7646	4482	7147	9646	4847	728	8283
2742	698	1160	2857	1486	1993	2008	1399	2361	2452	49	2359
3752	1635	1454	3162	1902	1921	2708	2010	2690	3668	46	2302
2007	858	846	1621	1009	1097	1384	1076	1501	1913	29	1291
1747	537	553	674	351	331	612	444	574	725	15	576
4668	2008	2575	3478	2381	2943	3207	3185	4858	4636	213	4397
2673	2135	2071	4143	3501	3194	3992	4157	5467	4827	200	4148
24122	14997	14563	19332	18971	16824	19663	23248	30585	25115	674	24198
4684	3709	4928	5016	4710	4992	3720	6665	9791	4778	306	8469
4194	1801	2044	2440	1983	1903	2786	2584	3463	3827	112	2827
10511	7340	6618	6773	6120	6118	7514	9918	12830	10399	266	9549
2014	1229	1325	1949	1560	1817	1634	1767	2988	2244	42	2133
2249	1440	1325	661	803	1245	1227	1847	2463	1375	174	1835
38633	30292	29804	31170	28863	29890	32787	42547	58991	44039	1619	47569
8098	3997	4219	7866	3255	4768	6235	5088	8838	8236	213	7051
13939	6827	9721	23874	14123	18180	13129	13526	23656	16590	513	20774
1204	583	564	1043	483	553	857	635	830	1113	12	740
3180	1339	1156	2502	1740	1764	3007	2179	2912	4284	76	2199
4407	2085	2429	4224	3172	3660	3527	3424	5492	5046	65	4350
9675	3896	3482	7777	5504	4857	7751	6148	7345	10458	189	5793
5604	2447	2156	4800	3859	3276	4486	4292	4789	5807	121	3784
1562	444	544	1270	904	780	970	842	1008	1360	21	1007
131	42	22	94	58	56	76	57	71	89	1	63
1861	856	1610	2759	1966	2760	1211	1608	3021	1804	78	3742
33	44	44	65	55	81	54	84	138	51	4	72
6	5	6	11	10	17	11	18	27	11	1	19
1128	1090	1206	496	606	638	723	1097	1690	1078	32	1221
453	703	1130	821	1317	1887	607	1561	3278	866	148	2222
2	2	0	1	0	0	1	2	4	0	1	4
3477	2655	3592	3163	3390	3672	3317	4607	7134	4240	204	5201
688	747	1044	736	1059	1169	853	1587	2436	1089	61	1729
