Geneid	Chr	Start	End	Strand	Length
gene-LOC100679504	NC_045757.1	6142	8476	-	2335
gene-LOC116415970	NC_045757.1	9540	13384	-	3845
gene-LOC103315360	NC_045757.1	16491	18228	+	1738
gene-LOC100117425	NC_045757.1	54820	61373	-	6554
gene-LOC100678203	NC_045757.1	63374	65444	+	2071
gene-LOC100117470	NC_045757.1	65587	69067	+	3481
gene-LOC100117511	NC_045757.1	69333	72996	+	3664
gene-LOC103315460	NC_045757.1	73181	84913	+	11733
gene-LOC100117637	NC_045757.1	87543	89418	-	1876
gene-LOC100117673	NC_045757.1	90365	97055	+	6691
gene-LOC100117717	NC_045757.1	96987	116021	-	19035
gene-LOC100115460	NC_045757.1	116040	118459	+	2420
gene-LOC100117754	NC_045757.1	118626	130520	+	11895
gene-Cdk2	NC_045757.1	130298	132105	-	1808
gene-LOC100117870	NC_045757.1	132613	138121	-	5509
gene-LOC100117910	NC_045757.1	137717	139740	+	2024
gene-LOC100115495	NC_045757.1	139567	140908	-	1342
gene-LOC103315518	NC_045757.1	141300	156810	+	15511
gene-TRNAL-UAG	NC_045757.1	145583	145662	-	80
gene-LOC100118019	NC_045757.1	156818	161483	-	4666
gene-LOC100118052	NC_045757.1	161602	164470	+	2869
gene-LOC100118095	NC_045757.1	165364	174788	+	9425
gene-LOC100118133	NC_045757.1	175005	201476	-	26472
gene-LOC103315461	NC_045757.1	201538	206236	+	4699
gene-LOC100118316	NC_045757.1	205454	212536	-	7083
gene-LOC103315463	NC_045757.1	212706	218991	-	6286
gene-LOC100118350	NC_045757.1	214433	218067	-	3635
gene-LOC100118388	NC_045757.1	219745	235500	+	15756
gene-LOC100118425	NC_045757.1	236124	241916	-	5793
gene-LOC100118463	NC_045757.1	241351	245608	+	4258
gene-LOC100118503	NC_045757.1	245731	247277	+	1547
gene-LOC100118541	NC_045757.1	247395	260574	+	13180
gene-LOC100118573	NC_045757.1	260701	265919	-	5219
gene-Ttc39b	NC_045757.1	266088	272993	+	6906
gene-LOC100118609	NC_045757.1	273257	278039	+	4783
gene-LOC100118646	NC_045757.1	280669	282326	+	1658
gene-LOC100118684	NC_045757.1	282626	286161	+	3536
gene-LOC107980512	NC_045757.1	285501	286161	+	661
gene-LOC107980513	NC_045757.1	285771	286161	+	391
gene-LOC100118726	NC_045757.1	286207	290169	+	3963
gene-LOC100115572	NC_045757.1	290364	291578	-	1215
gene-LOC100118761	NC_045757.1	291785	294183	-	2399
gene-LOC100118800	NC_045757.1	296854	328324	+	31471
gene-LOC100115610	NC_045757.1	328718	329792	+	1075
gene-LOC100680336	NC_045757.1	329505	331252	-	1748
gene-LOC103315466	NC_045757.1	330532	331646	+	1115
gene-LOC103315465	NC_045757.1	331633	334072	-	2440
gene-LOC100118937	NC_045757.1	333936	339879	+	5944
gene-LOC100678172	NC_045757.1	341027	357263	+	16237
gene-LOC100680542	NC_045757.1	357667	364359	+	6693
gene-LOC100119017	NC_045757.1	362076	366899	-	4824
gene-LOC100119052	NC_045757.1	367690	372081	-	4392
gene-LOC100119084	NC_045757.1	372219	375789	+	3571
gene-Cenp-a	NC_045757.1	377913	379249	+	1337
gene-LOC100119154	NC_045757.1	379094	400567	-	21474
gene-LOC100119193	NC_045757.1	403956	412329	+	8374
gene-LOC116416015	NC_045757.1	411511	413889	-	2379
gene-Cox6b1	NC_045757.1	412768	416735	+	3968
gene-LOC100119273	NC_045757.1	416905	418249	+	1345
gene-LOC100119307	NC_045757.1	418166	423175	-	5010
gene-RPA2	NC_045757.1	423385	424611	-	1227
gene-LOC100119370	NC_045757.1	425086	431993	+	6908
gene-LOC100677881	NC_045757.1	427460	430398	-	2939
gene-LOC100678100	NC_045757.1	431947	433292	+	1346
gene-LOC103315469	NC_045757.1	433794	435333	+	1540
gene-LOC100119475	NC_045757.1	435405	439471	-	4067
gene-LOC100678407	NC_045757.1	440414	443493	-	3080
gene-LOC116416016	NC_045757.1	442583	443320	+	738
gene-LOC100119506	NC_045757.1	448499	450014	+	1516
gene-LOC100678815	NC_045757.1	454167	455706	-	1540
gene-LOC107980898	NC_045757.1	456299	457726	-	1428
gene-LOC100119614	NC_045757.1	459244	467092	-	7849
gene-LOC100119655	NC_045757.1	462819	466974	-	4156
gene-LOC100679627	NC_045757.1	471251	472866	-	1616
gene-LOC100679233	NC_045757.1	476492	497794	-	21303
gene-LOC100294696	NC_045757.1	499365	502172	+	2808
gene-LOC100119750	NC_045757.1	502650	508384	-	5735
gene-LOC100119777	NC_045757.1	509713	524728	+	15016
gene-LOC100119814	NC_045757.1	524422	525643	-	1222
gene-LOC100119850	NC_045757.1	525762	531169	+	5408
gene-Def1-1	NC_045757.1	531077	531717	-	641
gene-Def1-2	NC_045757.1	533077	533814	-	738
gene-LOC103315470	NC_045757.1	534156	537788	-	3633
gene-LOC100677949	NC_045757.1	537882	540136	+	2255
gene-LOC100115785	NC_045757.1	540144	541687	-	1544
gene-LOC100120010	NC_045757.1	544060	574938	+	30879
gene-LOC100120043	NC_045757.1	578690	584136	+	5447
gene-LOC100120076	NC_045757.1	584174	587140	-	2967
gene-HisCl1	NC_045757.1	587191	589764	-	2574
gene-LOC100120145	NC_045757.1	591940	608006	-	16067
gene-LOC116415991	NC_045757.1	612187	614403	+	2217
gene-LOC100678805	NC_045757.1	614271	633258	+	18988
gene-LOC100120197	NC_045757.1	633372	635399	+	2028
gene-LOC100120230	NC_045757.1	635510	653909	-	18400
gene-LOC100120254	NC_045757.1	654301	658772	+	4472
gene-LOC100120282	NC_045757.1	658292	660736	-	2445
gene-LOC100120314	NC_045757.1	660838	664024	-	3187
gene-LOC100678033	NC_045757.1	664384	666907	-	2524
gene-LOC100678072	NC_045757.1	667155	669418	+	2264
gene-LOC103315472	NC_045757.1	669360	671848	-	2489
gene-LOC100679056	NC_045757.1	671839	679222	+	7384
gene-LOC100120477	NC_045757.1	679232	682005	-	2774
gene-LOC100463238	NC_045757.1	683150	685531	+	2382
gene-LOC116416031	NC_045757.1	685638	687658	+	2021
gene-LOC100679260	NC_045757.1	687139	687870	-	732
gene-LOC100115831	NC_045757.1	687251	689814	+	2564
gene-LOC100679165	NC_045757.1	690269	695033	+	4765
gene-LOC116416032	NC_045757.1	691738	693584	-	1847
gene-LOC107980555	NC_045757.1	695389	698923	+	3535
gene-CPLCP3	NC_045757.1	704123	706018	-	1896
gene-LOC100120779	NC_045757.1	711322	716049	-	4728
gene-LOC100678164	NC_045757.1	716563	802690	-	86128
gene-LOC100679313	NC_045757.1	742469	745020	-	2552
gene-LOC100120897	NC_045757.1	744969	892869	+	147901
gene-LOC100120846	NC_045757.1	826275	875724	-	49450
gene-LOC116415688	NC_045757.1	876583	878439	+	1857
gene-LOC116415978	NC_045757.1	881787	883293	-	1507
gene-LOC116415977	NC_045757.1	885022	887392	-	2371
gene-LOC103315520	NC_045757.1	888427	892492	-	4066
gene-LOC107980519	NC_045757.1	892958	893724	-	767
gene-LOC103315522	NC_045757.1	893712	905557	-	11846
gene-LOC100679411	NC_045757.1	905564	911824	+	6261
gene-Fibp	NC_045757.1	912558	914367	+	1810
gene-LOC100120996	NC_045757.1	914308	917184	-	2877
gene-LOC100121019	NC_045757.1	918065	941658	-	23594
gene-LOC100121044	NC_045757.1	947343	956342	+	9000
gene-LOC116416018	NC_045757.1	961811	964451	-	2641
gene-LOC100115905	NC_045757.1	968884	970222	+	1339
gene-LOC100115944	NC_045757.1	970897	978312	-	7416
gene-LOC100121118	NC_045757.1	999682	1005479	+	5798
gene-Or188	NC_045757.1	1010455	1012239	+	1785
gene-Or189	NC_045757.1	1012751	1014519	+	1769
gene-Or190	NC_045757.1	1016386	1018187	+	1802
gene-LOC100678289	NC_045757.1	1027336	1045323	+	17988
gene-LOC100115981	NC_045757.1	1046092	1046855	-	764
gene-LOC100121210	NC_045757.1	1046866	1047821	-	956
gene-LOC103315524	NC_045757.1	1050150	1052038	-	1889
gene-LOC100121256	NC_045757.1	1052459	1056806	-	4348
gene-LOC100678342	NC_045757.1	1057569	1060551	-	2983
gene-LOC100121296	NC_045757.1	1060999	1062948	+	1950
gene-LOC100121315	NC_045757.1	1062936	1077091	-	14156
gene-LOC100121352	NC_045757.1	1077843	1083149	-	5307
gene-LOC100121372	NC_045757.1	1083306	1090549	-	7244
